YEAR ,TOPIC ,DATE OF TOPIC,TYPE MEDIA,DATE OF MEDIA ,MEDIA NAME ?,TYPE OF POST (CM ONLY) 
2018,MARE ,N/A,1,6/24/2018,OCUPA ,Post sharing article about violence effecting children 
2018,MARE ,N/A,1,6/24/2018,OCUPA ,Shared post about marcos from Mare group 
2018,MARE ,N/A,1,6/22/2018,OCUPA ,Picture & update about mare operation & risks for residents 
2018,MARE ,N/A,1,6/22/2018,OCUPA ,Sharing post about marcos from different page 
2018,MARE ,N/A,1,6/21/2018,OCUPA ,Sharing video of operation in Mare 
2018,MARE ,N/A,1,6/21/2018,OCUPA ,Video shared from MV 
2018,MARE ,N/A,1,6/20/2018,OCUPA ,Sharing Globo article about Marcos 
2018,MARE ,N/A,2,6/22/2018,CC ,N/A 
2018,MARE ,N/A,2,6/28/2018,CC ,N/A 
2018,MARE ,N/A,2,6/22/2018,ROW ,N/A 
2018,MARE ,N/A,2,6/11/2018,ROW ,N/A 
2018,MARE ,N/A,2,6/27/2018,CNTS ,N/A 
2018,MARE ,N/A,3,6/20/2018,G1,N/A 
2018,MARE ,N/A,3,6/21/2018,G1,N/A 
2018,MARE ,N/A,3,6/21/2018,FDSP ,N/A 
2018,MARE ,N/A,3,6/21/2018,G1,N/A 
2018,MARE ,N/A,3,6/25/2018,G1,N/A 
2018,MARE ,N/A,3,6/27/2018,G1,N/A 
2018,MARE ,N/A,3,6/21/2018,G1,N/A 
2018,MARE ,N/A,3,6/25/2018,DIA ,N/A 
2018,MARE ,N/A,3,6/21/2018,UOL,N/A 
2018,MARE ,N/A,3,6/21/2018,DIA ,N/A 
2018,MARE ,N/A,3,6/20/2018,DIA ,N/A 
2018,MARE ,N/A,3,6/20/2018,FDSP ,N/A 
2018,MARE ,N/A,3,6/20/2018,UOL ,N/A 
2018,MARE ,N/A,4,6/21/2018,RIOT ,N/A 
2018,MARE ,N/A,4,6/22/2018,ELP,N/A 
2018,MARE ,N/A,4,7/17/2018,ELP ,N/A 
2018,MARE ,N/A,4,6/21/2018,ELP,N/A 
2018,MARE ,N/A,4,6/24/2018,ELP ,N/A 
2018,MARE ,N/A,5,6/21/2018,GRND ,N/A 
2018,MARE ,N/A,5,7/16/2018,NWID ,N/A 
2011,VHRR ,N/A ,5,5/10/2011,REUT ,N/A 
2011,VHRR ,N/A ,5,4/18/2011,MP ,N/A 
2011,VHRR ,N/A ,5,12/14/2011,HFP ,N/A 
2011,VHRR ,N/A ,5,7/1/2011,BBC,N/A 
2011,VHRR ,N/A ,5,6/20/2011,IBT,N/A 
2011,VHRR ,N/A ,5,2/23/2011,USAT,N/A 
2011,VHRR ,N/A ,5,4/26/2011,GRDN ,N/A 
2011,VHRR ,N/A ,5,7/30/2011,INDP,N/A 
2011,VHRR ,N/A ,5,11/14/2011,AMIT,N/A 
2011,VHRR ,N/A ,3,5/10/2011,RIOT ,N/A 
2011,VHRR ,N/A ,2,3/9/2011,ROW ,N/A 
2011,VHRR ,N/A ,2,1/2/2011,ROW ,N/A 
2011,VHRR ,N/A ,2,10/11/2011,ROW ,N/A 
